Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude
ALEX MACHINES,"P838+CP5, Kottaram Jn. Rd, Kadakkarappally, Kerala 688529, India",Kerala,688529,9500,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.705020973333333,76.3096675088889
ALLAKKAT INTERNATIONAL,"P.O, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,7312,25848,20712,108918,364857,267992,185969,145967,246893,Ambalapuzha,Alappuzha,9.521471733333334,76.3244164
ALLEPPEY BALERS P.LTD.,"Alappuzha, Kerala, India",Kerala,682002,5312,0,0,0,27758,0,0,0,0,Kochi,Ernakulam,9.957255232894736,76.25402236842105
ALLEPPEY CO. LTD.,"Alappuzha, Kerala, India",Kerala,688534,4420479,6209642,5164523,5699132,5264683,4868005,5257371,3189816,2040828,Cherthla,Alappuzha,9.871729377142858,76.30438504
ALPHONSA CASHEW INDUSTRIES,"Puthoor, Kerala 691507, India",Kerala,691507,1878064,1194190,1240144,1312388,1547128,902088,943792,1019626,1298604,Kottarakkara,Kollam,9.043139252830189,76.7161006773585
AMAZING EXPORT CORPORATION,"SF.No:105,Valayankadu,P.Vadugapalayam Post, Palladam-Dharapuram Rd, Palladam, Tamil Nadu 641664, India",Tamil Nadu,641664,256,1506,138,1960,92,6514,25499,17316,0,Palladam,Coimbatore,10.98807019,77.28173242999999
AMBIKA COTTON MILLS LTD.,"15, Valluvar St, Sivananda Colony, Tatabad, Coimbatore, Tamil Nadu 641012, India",Tamil Nadu,641012,19262,0,0,0,0,443848,171715,1443076,156496,Coimbatore South,Coimbatore,11.020646936,76.962853908
ANAND TEXTILES,"W8GX+FX8 Moopanpara, Valapattanam, Kerala 670011, India",Kerala,670011,64532,39979,35548,12025,12925,5462,17344,23519,8321,Kannur,Kannur,11.911786729166668,75.36011997916667
ANANDHA FABRICATIONS(CBE)P.LTD.,"Thudiyalur Rd, near Indian Oil Petrol Bunk, Saravanampatti, Coimbatore, Tamil Nadu 641006, India",Tamil Nadu,641006,1750,0,0,0,0,0,0,0,0,Coimbatore North,Coimbatore,11.059443936363635,76.99888995
ANASWARA OFFSET P.LTD,"Edappally Raghavan Pillai Road, Junction, Perandoor, Elamakkara, Kochi, Kerala 682026, India",Kerala,682026,5240,1787,3065,1023,6944,5589,2133,124,8580,Ernakulam,Ernakulam,10.01621266875,76.288820209375
